"Issue Type","Epic Name","Epic Link","Summary","Description","Story Points","Priority","Depends On"
"Epic","Foundation & DevOps","","EPIC-01 Foundation & DevOps","Monorepo, TypeScript, tooling, Docker Compose, env config. Base every downstream epic builds on.","29","P0",""
"Epic","Database & Data Layer","","EPIC-02 Database & Data Layer","Prisma schema, migrations, repositories, indexing strategy.","32","P0","EPIC-01"
"Epic","Scraper Framework","","EPIC-03 Scraper Framework","Pluggable Puppeteer scraper interface, PSX + Sarmaaya scrapers, normalization, resilience. Highest risk.","47","P0","EPIC-01, EPIC-02"
"Epic","Backend API & Services","","EPIC-04 Backend API & Services","Express REST surface, Controller-Service-Repository, Zod validation, Swagger.","42","P0","EPIC-02, EPIC-03"
"Epic","Background Jobs & Scheduling","","EPIC-05 Background Jobs & Scheduling","BullMQ queues, worker, hourly cron, retry/backoff, de-duplication.","34","P0","EPIC-02, EPIC-03"
"Epic","Search & Stock Management","","EPIC-06 Search & Stock Management","Fuzzy cached search, add/remove stock, on-demand sync with progress.","26","P1","EPIC-04, EPIC-05"
"Epic","Frontend Application","","EPIC-07 Frontend Application","React/Vite SPA, 4 pages, React Query, MUI, dark mode, responsive.","55","P1","EPIC-04, EPIC-06"
"Epic","Observability & Error Handling","","EPIC-08 Observability & Error Handling","Winston logging, correlation, global error middleware, metrics.","21","P1","EPIC-01, EPIC-04"
"Epic","Testing & Quality","","EPIC-09 Testing & Quality","Jest unit/integration/scraper/API/job tests, coverage gates.","34","P1","EPIC-03, EPIC-04"
"Epic","Documentation & Delivery","","EPIC-10 Documentation & Delivery","README, install/Docker/deployment guides, Swagger, ER/architecture/sequence diagrams, handover.","21","P2","EPIC-04, EPIC-07"
"Story","","EPIC-01","STORY-01.1 Monorepo & workspace scaffolding","Init git + workspaces; scaffold backend src tree + frontend Vite; add .gitignore/.editorconfig/.nvmrc.","3","P0",""
"Story","","EPIC-01","STORY-01.2 TypeScript configuration & path aliases","Strict tsconfig + build config; path aliases resolving in build/test/runtime; dev+build scripts.","3","P0","STORY-01.1"
"Story","","EPIC-01","STORY-01.3 Linting, formatting & commit hygiene","ESLint+Prettier, Husky+lint-staged, commitlint (Conventional Commits); shared config.","5","P0","STORY-01.2"
"Story","","EPIC-01","STORY-01.4 Dockerfiles for backend, worker & frontend","Multi-stage backend image; worker image with Chromium deps; frontend nginx build; .dockerignore.","8","P0","STORY-01.2"
"Story","","EPIC-01","STORY-01.5 Docker Compose orchestration","Compose frontend/backend/worker/postgres/redis; healthchecks; volumes; dev override + hot reload.","5","P0","STORY-01.4"
"Story","","EPIC-01","STORY-01.6 Configuration & environment validation","Typed config module with Zod env validation, fail-fast on boot; .env.example for both packages.","3","P0","STORY-01.2"
"Story","","EPIC-01","STORY-01.7 CI pipeline","CI: install-lint-typecheck-test-build; image build on main; PR gating.","2","P1","STORY-01.3"
"Story","","EPIC-02","STORY-02.1 Prisma setup & connection management","Prisma init, PrismaClient singleton, pooling, graceful shutdown, migrate scripts.","3","P0","EPIC-01"
"Story","","EPIC-02","STORY-02.2 Core schema: Stocks & Stock Prices","Stock + StockPrice models, Decimal fields, unique symbol, FK cascade, initial migration.","5","P0","STORY-02.1"
"Story","","EPIC-02","STORY-02.3 Schema: Dividends, Financials, Ratios","Three models with Decimal fields + composite unique constraints for idempotent upserts.","5","P0","STORY-02.2"
"Story","","EPIC-02","STORY-02.4 Schema: Sync Logs","SyncLog model + SyncStatus enum, nullable stock_id, index for log ordering.","3","P0","STORY-02.2"
"Story","","EPIC-02","STORY-02.5 Indexing & query-performance strategy","pg_trgm GIN index for fuzzy search; composite indexes for latest-price/history; EXPLAIN notes.","5","P1","STORY-02.3, STORY-02.4"
"Story","","EPIC-02","STORY-02.6 Repository layer","Interface-typed repositories per aggregate; intent-revealing methods; transactional persist helper; DI wiring.","8","P0","STORY-02.3, STORY-02.4"
"Story","","EPIC-02","STORY-02.7 Seed & migration workflow","Seed script; migrate deploy on container start; migration runbook.","3","P2","STORY-02.6"
"Story","","EPIC-03","STORY-03.1 Scraper interface & pluggable registry","IStockScraper contract + ScrapeResult DTO; ScraperRegistry (Open/Closed); add-provider recipe.","5","P0","EPIC-01"
"Story","","EPIC-03","STORY-03.2 Puppeteer browser pool & page lifecycle","Shared browser pool, bounded concurrency, request interception, timeouts, guaranteed page cleanup.","8","P0","STORY-03.1"
"Story","","EPIC-03","STORY-03.3 PSXScraper (dps.psx.com.pk)","Selector-config extraction to ScrapeResult; not-found vs error handling; HTML fixtures.","8","P0","STORY-03.1, STORY-03.2"
"Story","","EPIC-03","STORY-03.4 SarmaayaScraper (sarmaaya.pk)","Selector-config extraction to same DTO; not-found vs error; HTML fixtures.","8","P0","STORY-03.1, STORY-03.2"
